id,Class,degree
A National Party No More,c,25
Off with Their Heads,c,25
Losing Bin Laden,c,23
Legacy,c,18
Deliver Us from Evil,c,18
Arrogance,c,18
Bush Country,c,16
Dereliction of Duty,c,15
Persecution,c,13
Rise of the Vulcans,c,13
Ten Minutes from Normal,c,10
Let Freedom Ring,c,10
Rumsfeld's War,c,9
Tales from the Left Coast,c,9
Hating America,c,9
Endgame,c,9
Spin Sisters,c,9
Useful Idiots,c,9
The Savage Nation,c,8
Give Me a Break,c,8
The Bushes,c,8
The Man Who Warned America,c,7
The French Betrayal of America,c,7
Bias,c,7
Slander,c,7
Bush at War,c,7
The Enemy Within,c,6
The Official Handbook Vast Right Wing Conspiracy,c,6
Hollywood Interrupted,c,6
Breakdown,c,5
Shut Up and Sing,c,5
The Right Man,c,5
Hillary's Scheme,c,5
The Third Terrorist,c,5
The Death of Right and Wrong,c,5
The O'Reilly Factor,c,5
Those Who Trespass,c,5
The Real America,c,5
Who's Looking Out for You?,c,5
Allies,c,5
Why Courage Matters,c,5
The Faith of George W Bush,c,5
Bush vs. the Beltway,c,4
Charlie Wilson's War,c,4
Dangerous Diplomacy,c,4
Fighting Back,c,4
We Will Prevail,c,4
Betrayal,c,3
Things Worth Fighting For,c,3
Plan of Attack,n,13
Why America Slept,n,11
Sleeping With the Devil,n,8
Ghost Wars,n,8
1000 Years for Revenge,n,6
"Surprise, Security, the American Experience",n,6
Colossus,n,5
Power Plays,n,4
The Perfect Wife,n,4
Meant To Be,n,3
All the Shah's Men,n,3
Empire,n,3
The Future of Freedom,n,2
Freethinkers,l,3
Rush Limbaugh Is a Big Fat Idiot,l,4
The Culture of Fear,l,4
Soft Power,l,4
The Bubble of American Supremacy,l,4
Living History,l,4
We're Right They're Wrong,l,4
Buck Up Suck Up,l,4
Downsize This!,l,5
The New Pearl Harbor,l,5
Disarming Iraq,l,5
MoveOn's 50 Ways to Love Your Country,l,5
The Buying of the President 2004,l,5
Hegemony or Survival,l,5
Weapons of Mass Deception,l,5
Shrub,l,5
Stupid White Men,l,6
The Best Democracy Money Can Buy,l,6
Rogue Nation,l,6
Perfectly Legal,l,6
What Liberal Media?,l,6
The Clinton Wars,l,6
The Choice,l,7
The Sorrows of Empire,l,7
Had Enough?,l,7
"It's Still the Economy, Stupid!",l,7
Bush women,l,8
Fanatics and Fools,l,8
The Exception to the Rulers,l,8
America Unbound,l,9
The Politics of Truth,l,9
"House of Bush, House of Saud",l,11
"Dude, Where's My Country?",l,12
Thieves in High Places,l,12
Lies and the Lying Liars Who Tell Them,l,14
Against All Enemies,l,15
The Lies of George W. Bush,l,16
Worse Than Watergate,l,16
The Price of Loyalty,l,20
The Great Unraveling,l,21
Big Lies,l,21
American Dynasty,l,22
Bushwhacked,l,23
